,MDS1,MDS2,MDS3,PCA1,PCA2,PCA3,TSN1,TSN2,TSN3,name,color,years
44,69.8160177098,-51.8490971399,-33.4575873772,20.4514165789,-47.121142669,21.7589364295,9.24690424016,-5.25115893806,-27.205600669,Andrew Jackson,#da180b,#35546a
45,90.8126805877,23.4454085229,-119.365172606,86.6217760945,-55.299824543,18.035202907,5.07632775323,1.67653351102,-24.0821729407,Andrew Jackson,#da180b,#35556d
46,73.074799083,36.9933089213,-78.6742088394,52.7137441202,-47.9458377225,10.9684609027,-0.686386959354,-0.152617559537,-26.3333167688,Andrew Jackson,#da180b,#35566e
47,53.8452318028,-89.0498760498,-88.7979210938,63.018126071,-46.2013315787,8.34893455113,14.1000598618,2.67534296993,-23.7262697924,Andrew Jackson,#da180b,#35576f
48,90.9967054469,-12.906633881,-88.3483728069,63.298643728,-47.0523973717,12.1398248896,13.4264601285,11.3956619468,-13.4914691929,Martin van Buren,#da180b,#355770
49,58.9323047461,-41.1557295975,-106.104305851,70.6843301005,-54.4046495921,12.4426412597,14.7274449834,1.24252988081,-13.6967031536,Martin van Buren,#da180b,#355871
50,-4.38898392049,-135.39801951,-76.7123728339,61.0749524007,-40.7296839966,-0.0743887806975,23.7369494651,-4.23063628512,19.4184678344,Martin van Buren,#da180b,#355972
51,84.6016299922,21.9025776316,-28.3258538343,23.0450446502,-30.8362488021,11.7876271748,33.2844305143,-5.60094126553,-1.0361235995,Martin van Buren,#da180b,#355a74
52,49.4724363211,-17.2861280345,-36.2868268776,14.7644395671,-40.8393441416,3.86207531318,20.6671505618,-21.1091081201,-12.8528796531,John Tyler,#da0bb0,#355b76
53,14.1315974177,-63.9865489106,-35.5439499028,15.4882132827,-36.043407257,10.0150572074,19.4029148501,-24.215351416,-18.6128458366,John Tyler,#da0bb0,#355b77
54,30.111242371,-41.9130866099,-45.6973016292,21.2620798876,-38.1736409452,16.2815286653,16.9685207907,-14.1921412001,-12.3777726559,John Tyler,#da0bb0,#355c78
55,41.2462003689,-77.2315611434,-49.0264370755,31.8503466074,-43.1911384681,12.8807479084,17.8771255202,-7.34979464927,-10.7005478053,John Tyler,#da0bb0,#355d79
56,103.921629908,-5.11660735467,-190.563388183,146.049693002,-70.4471133918,19.6169378907,-8.15251430565,5.84878311973,-15.224908688,James Polk,#da180b,#355d7a
57,4.83823534784,-210.654934202,-230.505004714,180.565130006,-83.7115331996,66.5605374647,-1.39449572758,2.44488682981,-15.7614373268,James Polk,#da180b,#355e7c
58,-11.1826680014,-169.291588047,-181.496483168,142.195878622,-57.8371734013,61.3659435708,-3.90175190849,-2.91968631478,-14.6738693289,James Polk,#da180b,#355f7d
59,139.306921632,81.5785602717,-239.561360142,201.239944052,-61.1684763224,27.3485478014,-8.01341606877,-6.64812425978,-26.8210096976,James Polk,#da180b,#35607e
60,54.9448344481,11.0619816145,-25.7535807823,12.7371486093,-35.8124584014,13.1793281501,13.2499793501,-12.502727108,-4.35130385493,Zachary Taylor,#da0bb0,#35607f
61,46.9028907043,-53.1773589564,-30.7377704628,14.4473580807,-41.1845596512,7.52198169699,17.976079074,-9.33471003634,-0.234344771483,Millard Fillmore,#da0bb0,#356181
62,17.6280876318,-50.2059817629,-132.065903373,86.7825546372,-48.1994299909,21.8618658863,-2.43889346174,-18.5014950882,-20.211526261,Millard Fillmore,#da0bb0,#356282
63,44.7936819297,29.8117909431,-43.0419995347,22.1457838044,-38.3072814713,1.74461229243,6.49299395578,-18.5528387098,-25.7891729142,Millard Fillmore,#da0bb0,#356283
64,82.8089050332,-8.34037426171,-49.0662429396,34.5693153024,-41.0826369993,14.230595025,14.4031244605,-6.82499764017,-18.4032663054,Franklin Pierce,#da180b,#356485
65,29.279722105,-29.4137776523,-76.914421693,40.7058731454,-41.6756871611,15.1899659626,7.39223364869,-6.37694015957,-18.5904742183,Franklin Pierce,#da180b,#356486
66,101.028687602,-88.9321532026,-120.286354451,94.5633539001,-66.5229661883,25.4544875091,19.9478592244,-1.29597944468,7.36536453388,Franklin Pierce,#da180b,#356587
67,107.530497811,-57.9173911015,-85.3808167077,69.5608570955,-56.5728650984,19.6347297569,9.1740485651,-30.6611274942,-14.4631649198,Franklin Pierce,#da180b,#356688
68,6.30460614682,-120.389572206,-123.86454277,87.0224871052,-51.2067778123,14.1439163652,-14.8169336622,-11.5500530288,-6.91442979359,James Buchanan,#da180b,#356689
69,70.7248581373,-39.0514940351,-190.28360685,141.562298187,-64.8740269545,27.5259868253,-11.788317788,-6.15029256284,-11.5004148101,James Buchanan,#da180b,#35678b
70,100.021396599,79.0697695427,-86.8299983616,79.212247549,-42.028725285,27.8945128471,-22.3660665763,-17.4315501401,-11.8236300532,James Buchanan,#da180b,#36688d
71,146.392115565,51.851323138,-121.441555628,108.250110729,-66.0475089902,16.4346936043,-11.6794595488,-1.6129354827,-18.1846259484,James Buchanan,#da180b,#36698e
72,-23.7773120965,-47.6561187741,-7.81869532233,-8.11856605489,-23.7783908672,-0.157391620182,-13.2233720998,19.1497958412,-26.8111890316,Abraham Lincoln,#530bda,#366a8f
73,-38.7483651398,-86.9501606637,-17.2888463163,8.49178293942,-22.4222474224,10.8965474883,1.90646170102,-33.0176327286,-5.69075355858,Abraham Lincoln,#530bda,#366a90
74,34.5766431989,-33.440516675,-7.51283538003,-7.46099865701,-29.9376969998,12.2354085336,-4.67197152874,-15.2547153463,-2.59881633725,Abraham Lincoln,#530bda,#366b91
75,-9.23394829815,-38.1451364651,-2.05349419167,-12.5887186838,-19.1703079346,13.7357583902,10.2663527754,-16.818713759,16.5096003927,Abraham Lincoln,#530bda,#366c92
76,94.0729007403,35.4434243593,-58.2107277446,49.9239614428,-39.3820533942,11.7409866171,12.1991638721,-17.3817029928,-19.2593250285,Andrew Johnson,#0bda8e,#366d95
77,70.4985700418,-22.4016343199,-41.0604758542,25.752519405,-38.335043023,24.6295059775,18.4979209212,-14.7712889358,-21.6602856144,Andrew Johnson,#0bda8e,#366e96
78,-43.8976098186,-81.4547504179,-95.3245930088,66.3058739958,-38.071234359,-1.5817782278,26.421468048,-10.1135829777,-8.54585243284,Andrew Johnson,#0bda8e,#366e97
79,-62.2692711017,-87.8279616143,-73.5787457264,56.9002524227,-28.2735398275,24.3978480846,26.9008831022,-12.6905131,-14.5042260172,Andrew Johnson,#0bda8e,#366f98
80,20.2430049771,5.06220662991,-39.343413575,14.7333386724,-29.7024842463,14.2171949228,21.2062963899,-32.1245883309,-8.02616825409,Ulysses S. Grant,#530bda,#367099
81,9.41854859369,-68.5443781231,-63.0069640509,35.7860385272,-39.0440602394,14.372421274,19.9823172563,-7.58519308905,-25.6635937144,Ulysses S. Grant,#530bda,#36709a
82,28.6275034219,-6.36200532705,-18.9938918861,0.491151937308,-30.8470091875,5.86779109073,15.940955544,-25.9268440231,13.6939746312,Ulysses S. Grant,#530bda,#36719b
83,60.0320746497,-25.7240064414,29.5346837827,-35.2784123554,-29.8385941733,14.3768148314,17.1735626157,13.2014093517,23.006994453,Ulysses S. Grant,#530bda,#36729d
84,-13.3907309722,-1.61283497233,-92.8117148816,53.5898683828,-30.4934461147,11.260141007,1.85478202005,-22.3784146857,-13.7379429065,Ulysses S. Grant,#530bda,#36739f
85,-21.442076758,-25.3384687745,-63.1684501009,28.7873655316,-30.0327778723,0.836354482335,0.0339529884308,-23.8717514022,-5.41869802874,Ulysses S. Grant,#530bda,#3674a0
86,-21.4323048646,-34.7866780983,-116.022040391,75.5924725307,-37.6820485156,6.67261735174,-6.68970188587,-22.0892998937,-12.0276332999,Ulysses S. Grant,#530bda,#3674a1
87,0.527837223906,-71.6559193143,-23.4999579652,7.59669003512,-33.6610021357,15.1982012474,7.82565530967,-25.345656578,-1.86383279677,Ulysses S. Grant,#530bda,#3675a2
88,-34.8534489128,-62.7449512807,-39.6166088572,21.2371746639,-27.1681063115,11.0380928344,-0.0823811763043,11.7618265623,-17.3453718715,Rutherford B. Hayes,#530bda,#3676a3
89,-3.91806616934,14.8047963524,-48.5015259975,17.609992467,-23.467560902,15.4805125318,0.930072453977,-11.9973866707,-31.6057469368,Rutherford B. Hayes,#530bda,#3677a5
90,6.18648520386,26.1779210807,-121.548576273,81.8448848415,-32.7852586049,8.10758003585,3.53269649173,-13.7098223349,-14.5987161588,Rutherford B. Hayes,#530bda,#3678a6
91,18.1639977628,9.40176070688,-28.0950011378,5.96795780072,-29.3585012007,2.67060507319,0.500471786129,-9.6355355221,-22.4835706603,Rutherford B. Hayes,#530bda,#3678a7
92,11.1708619421,-49.1228065712,24.6995205661,-37.0088722546,-23.74189525,10.7848612864,11.0103087849,21.5868789841,19.7023359315,Chester A. Arthur,#530bda,#3679a9
93,44.8501227157,-23.5047970159,44.2505660188,-49.8923305397,-22.478476018,12.6748626436,19.3784653729,23.0813453779,-0.750192697964,Chester A. Arthur,#530bda,#3679aa
94,7.01408179568,-75.5958701507,31.8767452583,-37.9822990702,-24.7779963369,14.0588777565,21.0852938751,17.3778655958,-5.6788558431,Chester A. Arthur,#530bda,#367aab
95,-38.7265066931,-50.3171643051,-52.7035902492,28.2544850799,-30.90287132,8.87020709967,14.237396793,-4.86081371701,34.0408853687,Chester A. Arthur,#530bda,#367bad
96,10.4396406254,41.6844155388,-218.900800462,169.342573709,-45.6395324146,-9.09418128765,0.825699997548,-20.4432247557,3.17374876214,Grover Cleveland,#da180b,#367cae
97,-52.9066198355,11.4161684726,-151.74593047,110.232913059,-25.8638328146,0.208025172481,4.91018541175,-16.5229522833,-7.60870702753,Grover Cleveland,#da180b,#377daf
98,94.3660558816,-1.47553531188,51.8014528931,-40.0621236526,-13.8126773448,-2.01817605606,-7.50516676971,-11.7883627752,4.80582850932,Grover Cleveland,#da180b,#377db0
99,-41.9883725973,-2.82959608788,-52.7612964205,21.9336727866,-21.9373549803,0.615301698104,-29.8379664288,16.6896245271,5.36190510198,Grover Cleveland,#da180b,#377eb1
100,-3.90709592691,59.2235936133,-107.336763323,79.3743136584,-28.3223413093,-16.6327282833,2.13013317636,-8.46070736829,-6.62634249417,Benjamin Harrison,#530bda,#377fb2
101,-77.1010911077,-29.5326848544,-89.1879361554,60.0410328021,-21.4782711014,-6.51786874329,21.857373158,8.20893618649,-19.1792333608,Benjamin Harrison,#530bda,#377fb4
102,-45.3001082678,36.730535309,-185.476566105,134.239697104,-32.5325187347,-10.5116496811,24.0317052869,-0.460456987199,-17.8568703627,Benjamin Harrison,#530bda,#3781b6
103,-142.762862667,-66.1885324409,-112.837422986,91.7684896037,-10.7388852222,-3.29658880191,12.4008609858,-22.0144573796,75.3347655026,Benjamin Harrison,#530bda,#3781b7
104,52.7648571374,88.4305650284,-103.467993531,85.4989630228,-33.9401292222,0.72820634154,11.8321497833,-22.143475927,-10.4415315055,William McKinley,#530bda,#3782b8
105,-4.28693956171,-57.078692447,-257.968546736,186.659608876,-51.5303347151,21.9785481434,-4.87973796594,-12.2357159386,-11.1771889038,William McKinley,#530bda,#3783b9
106,-40.5965322235,-30.8803485916,-180.815624241,136.220231521,-36.715222767,-5.37463494639,4.13087714922,-13.0492221221,0.14879225065,William McKinley,#530bda,#3783ba
107,39.0684873937,125.214287876,-195.080047411,167.943287643,-29.2821184408,-16.6168680268,-11.6355200782,-27.143967133,4.37546663407,William McKinley,#530bda,#3784bb
108,-146.326295757,105.842316317,-120.087172935,126.427935989,20.8340759278,-99.4309249041,-22.8463123968,-6.21501059716,-11.4329650159,Theodore Roosevelt,#530bda,#3785be
109,-91.2676496162,-19.4368410153,-14.1571783366,7.83437408542,2.43096416171,-44.2806144422,-19.8906790632,14.3549693896,-18.8884807462,Theodore Roosevelt,#530bda,#3786bf
110,34.3650459963,122.061507998,-128.502406535,116.59366198,-24.9764615887,-18.6986885164,-14.0202439523,12.0200960471,-2.4756202944,Theodore Roosevelt,#530bda,#3787c0
111,-53.6111448517,134.593727978,-106.089133557,102.461000821,5.07838066691,-85.3636288896,-19.9509263809,-1.76119295792,-14.4587700857,Theodore Roosevelt,#530bda,#3787c0
112,-50.7291053632,198.978416323,-203.444104173,202.414445837,9.53288948835,-133.599522047,-27.1232652106,0.700702260815,-11.4523703153,Theodore Roosevelt,#530bda,#3888c1
113,-156.269254997,122.826653502,-165.544338536,160.226723172,12.1398546392,-123.260767866,-15.9628677023,-9.2541560966,-20.8325514337,Theodore Roosevelt,#530bda,#3988c1
114,-119.244657789,165.451038674,-242.993713621,228.155304373,20.7091293851,-138.092151221,-14.4996887359,-15.5778490025,-17.0003948877,Theodore Roosevelt,#530bda,#3b8ac2
115,-183.369506931,40.8536248174,-114.717487733,116.739078509,14.6090745696,-107.13432099,-22.7418731777,-6.54246525388,-18.8454795316,Theodore Roosevelt,#530bda,#3c8ac2
116,-48.9552946942,64.1900727682,-138.72161795,106.366061301,-23.0852099583,-24.3384036511,9.64363389908,-14.3661805392,5.37943110443,William H. Taft,#530bda,#3d8bc2
117,85.9152472672,68.5967249423,-20.7854068066,20.9930824685,-20.3236939387,5.72812688801,-22.4197654421,10.1282124102,29.7370032307,William H. Taft,#530bda,#3e8bc3
118,-171.543606565,-30.8367860323,-246.826771592,217.923215343,-18.1579964182,-70.8336097592,-10.5690704502,-26.2559925828,17.8434249044,William H. Taft,#530bda,#3f8cc3
119,-108.734398453,28.5395069426,-316.543260565,278.240282765,-7.53004074231,-64.9185170813,-9.62315182098,-31.5048632609,-6.60125169121,William H. Taft,#530bda,#408cc3
120,-5.70568842188,-37.6489461704,54.3467689568,-55.9206926886,-9.63407343369,-2.80260181446,16.1779765433,-21.6984496394,2.31443664559,Woodrow Wilson,#da180b,#418ec4
121,-24.3288274385,-46.812749028,48.8452808033,-49.1601236617,-3.921080865,-7.80512768935,25.8970630225,-8.02435766068,7.41795994461,Woodrow Wilson,#da180b,#428ec4
122,-71.7668586189,-45.1061035078,15.3795054668,-16.8505422103,5.40660637999,-9.22094966006,29.5160662798,-13.5104663028,10.1737795376,Woodrow Wilson,#da180b,#438fc4
123,1.77775938219,-55.7149880011,78.006300173,-69.732434586,-13.511947511,0.585356327386,-1.85689444665,10.0027611011,-30.4617444506,Woodrow Wilson,#da180b,#448fc5
124,-22.7669627699,-64.0822289158,74.4564585823,-59.6874965486,-2.0509185646,3.53351790335,-0.179959346429,24.2120573949,3.18328441053,Woodrow Wilson,#da180b,#4590c5
125,67.7047167723,-2.32623766333,63.9478482079,-46.0523691901,0.426509757504,-4.21237429929,30.1983572624,-16.7982686424,1.16007920149,Woodrow Wilson,#da180b,#4690c5
126,46.1470842292,13.6494917232,47.4569374048,-42.9006485211,3.3438432482,-7.45044919187,-26.4758547186,-9.22490093623,-2.16135245234,Woodrow Wilson,#da180b,#4791c5
127,-8.20627277592,-47.7529716242,52.6421256048,-55.1460799912,-7.9670973851,10.8421768442,-22.5101684633,5.10705638906,-2.65217873988,Woodrow Wilson,#da180b,#4992c6
128,55.284366136,24.491125791,33.6178787384,-33.2265648784,2.29013073759,-6.82906403397,-16.5823667167,-34.2941537527,-78.0720604545,Warren Harding,#530bda,#4a93c6
129,-53.1047930227,-59.892287234,39.6221597574,-32.6924926303,7.12211729662,-6.0739166572,-18.025741861,9.0168294901,-10.4594470527,Warren Harding,#530bda,#4b93c7
130,-53.227650569,-8.43121117436,-11.2700117655,-2.5835324605,1.35382478766,-14.6035077578,-14.9423322175,24.7439581668,-4.09974823097,Calvin Coolidge,#530bda,#4c94c7
131,-31.9328816327,35.6640978082,-14.3193166687,-4.82698363275,8.01317647427,-12.8380561183,-46.0894787814,-12.3969804316,32.707757946,Calvin Coolidge,#530bda,#4c94c7
132,-108.79888494,4.04376040025,-54.5448990051,45.07646513,10.4928609289,-21.6166529313,-126.526543913,5.75284811492,48.7056313037,Calvin Coolidge,#530bda,#4d95c8
133,-39.5901037864,81.4275878684,-51.1046418083,37.6007901407,14.7572704571,-19.0657860398,-10.4624266956,16.3476585682,-11.0897339404,Calvin Coolidge,#530bda,#4f96c8
134,-53.1545744909,49.8823849828,-46.1572695696,25.6377707744,6.52466882538,-8.89873155696,-10.3839985681,10.8833007717,-22.5925123618,Calvin Coolidge,#530bda,#5097c8
135,-65.2643327749,20.6205276457,-41.9991727817,27.156074754,11.1518852107,-3.97577177775,-9.18580376557,30.6492942134,-8.05595860425,Calvin Coolidge,#530bda,#5197c9
136,-132.744318142,-53.5823504709,-65.4435005636,65.5846696045,15.2697232764,-4.19942358966,-24.9759201411,15.7068866701,-6.51028795308,Herbert Hoover,#530bda,#5298c9
137,-54.0516685367,-84.4221891194,29.9881659284,-27.2742264977,4.78370512934,11.6218439319,10.200683032,5.46473812923,26.5043723379,Herbert Hoover,#530bda,#5398c9
138,-75.2940827437,-73.2648458825,24.6302571774,-20.9212391757,12.3432394845,5.88208231487,7.83590789057,10.3220360258,28.1603995903,Herbert Hoover,#530bda,#5499ca
139,15.3690169535,-41.7474199903,92.5845445732,-81.6097646582,-11.0368248147,10.8954080726,14.4144684494,8.52346258796,2.44220635583,Herbert Hoover,#530bda,#569aca
140,4.54192328079,-28.241382367,79.606828187,-68.9136141619,-3.00911502385,-0.599067070954,-0.521626598066,-7.34040731078,6.49490569212,Franklin D. Roosevelt,#da180b,#569bca
141,36.98102899,8.29448350858,64.4654349435,-51.7041432352,11.0835528235,-1.52863220707,-48.5768147754,15.5379870043,88.856671001,Franklin D. Roosevelt,#da180b,#579bcb
142,20.8208962669,6.04496489419,53.8311009544,-50.6162245936,3.91092453516,2.3376996177,-14.8585216728,1.32530255974,11.3955977345,Franklin D. Roosevelt,#da180b,#589ccb
143,10.6370238954,-12.2895837083,69.1542673679,-60.4508829022,1.96730576438,3.44108305896,-16.2246816915,0.276383761588,-28.9154348354,Franklin D. Roosevelt,#da180b,#599ccb
144,35.7921843676,34.7445658227,31.9723395025,-34.8499127224,12.5664407388,-1.44947797533,32.901256623,-21.2179114655,-84.1118401068,Franklin D. Roosevelt,#da180b,#5a9dcc
145,-31.732863627,-24.236280974,59.6396402905,-50.0744786692,14.4803933378,0.347033742419,-7.94394016526,-3.23042972686,7.1594229443,Franklin D. Roosevelt,#da180b,#5b9ecc
146,-19.0300428112,-29.8266448019,73.5798036446,-58.5669625284,7.60619415708,2.58603900007,-12.6685293239,-20.2402415921,-2.14148790551,Franklin D. Roosevelt,#da180b,#5d9fcc
147,-15.5070783963,-23.8442950077,77.599248831,-60.6885230083,10.3926527048,2.82816096834,-22.4057816361,0.641445157023,7.75449351458,Franklin D. Roosevelt,#da180b,#5e9fcd
148,-27.4593690242,-53.5805526946,82.069625048,-59.6262356505,5.55788558106,11.455534934,-0.524000628743,16.8823600909,-1.77143178917,Franklin D. Roosevelt,#da180b,#5fa0cd
149,-48.4112229586,-57.8933086603,79.7653927055,-53.5000099072,15.673587005,10.5781399763,-4.88778861637,12.7112312288,-1.9299990731,Franklin D. Roosevelt,#da180b,#60a0cd
150,-41.0024013976,-54.011399049,66.913345564,-50.2410261938,11.6637426073,5.16623909186,-7.6950421133,20.1320222402,0.79811974802,Franklin D. Roosevelt,#da180b,#61a1ce
151,-117.906131658,-61.1181504465,39.6438662864,-11.035397542,36.5642554751,6.85224884163,0.738016075949,11.5668411922,-7.53569226444,Franklin D. Roosevelt,#da180b,#61a2ce
152,445.447518645,39.7367675529,-380.211603079,344.385227418,294.723353668,279.361262184,-0.181378750697,2.15582212547,-5.62970978709,Harry S. Truman,#da180b,#63a3cf
153,3.98902105332,67.1584219159,6.64952280076,-15.6073275701,35.7465506726,13.1131120605,12.6165086646,-4.38860501182,19.722391013,Harry S. Truman,#da180b,#64a3cf
154,-66.5989536226,-15.8588421632,44.3847310794,-33.6706165466,35.1187293392,7.10397873904,-21.5737037988,-27.4035591067,-0.71830531019,Harry S. Truman,#da180b,#65a4cf
155,-9.78772873151,-4.63718858616,46.6835133869,-48.1056439229,13.0645831077,2.22714814967,-15.1058494831,-16.0602344156,25.8193042768,Harry S. Truman,#da180b,#66a4cf
156,-59.7993829994,-1.84090401325,38.1948103346,-33.3462714698,32.4717386292,-2.23962284111,3.8232923821,-19.6122888057,27.9734121069,Harry S. Truman,#da180b,#67a5d0
157,-51.1843712918,-38.8124762835,89.6445068608,-57.8626956626,19.9241581205,0.910444964106,-22.2190976585,4.03865257873,16.0168454984,Harry S. Truman,#da180b,#68a5d0
158,-74.5488534796,-17.3585111489,63.3309629727,-39.7283192615,34.0171411566,0.0317762842436,-5.41591641581,3.75378217027,12.1511640695,Harry S. Truman,#da180b,#6aa7d1
159,-55.5008506191,39.9807837444,7.73167284413,-13.2513422504,35.2465402982,3.10796453735,-5.14360937363,-19.9300716846,23.8863052774,Harry S. Truman,#da180b,#6ba7d1
160,-180.561146757,-23.3798952675,47.9629539246,-1.43668044252,67.3231105369,1.73655771808,1.18614029158,25.3036199693,19.1372624596,Dwight D. Eisenhower,#530bda,#6ba7d1
161,-68.9116201311,17.4579072476,8.65655670467,-8.62257749866,38.3130237123,11.831226768,-0.299766451896,-23.4825859531,18.6613329808,Dwight D. Eisenhower,#530bda,#6ba8d1
